   4.3143543e+01   4.3188530e+01   4.3233521e+01   4.3278507e+01   4.3323498e+01   4.3368484e+01   4.3413475e+01   4.3458462e+01   4.3503448e+01   4.3548439e+01   4.3593426e+01   4.3638416e+01   4.3683403e+01   4.3728394e+01   4.3773380e+01   4.3818371e+01   4.3863358e+01   4.3908348e+01   4.3953335e+01   4.3998325e+01   4.4043312e+01   4.4088303e+01   4.4133289e+01   4.4178276e+01   4.4223267e+01
   4.3144505e+01   4.3189495e+01   4.3234482e+01   4.3279469e+01   4.3324459e+01   4.3369446e+01   4.3414436e+01   4.3459423e+01   4.3504414e+01   4.3549400e+01   4.3594391e+01   4.3639378e+01   4.3684368e+01   4.3729355e+01   4.3774345e+01   4.3819332e+01   4.3864319e+01   4.3909309e+01   4.3954296e+01   4.3999287e+01   4.4044273e+01   4.4089264e+01   4.4134251e+01   4.4179241e+01   4.4224228e+01
   4.3145435e+01   4.3190422e+01   4.3235409e+01   4.3280399e+01   4.3325386e+01   4.3370377e+01   4.3415363e+01   4.3460354e+01   4.3505341e+01   4.3550331e+01   4.3595318e+01   4.3640308e+01   4.3685295e+01   4.3730286e+01   4.3775272e+01   4.3820259e+01   4.3865250e+01   4.3910236e+01   4.3955227e+01   4.4000214e+01   4.4045204e+01   4.4090191e+01   4.4135181e+01   4.4180168e+01   4.4225159e+01
   4.3146328e+01   4.3191319e+01   4.3236305e+01   4.3281296e+01   4.3326283e+01   4.3371269e+01   4.3416260e+01   4.3461246e+01   4.3506237e+01   4.3551224e+01   4.3596214e+01   4.3641201e+01   4.3686192e+01   4.3731178e+01   4.3776169e+01   4.3821156e+01   4.3866146e+01   4.3911133e+01   4.3956123e+01   4.4001110e+01   4.4046097e+01   4.4091087e+01   4.4136074e+01   4.4181065e+01   4.4226051e+01
   4.3147190e+01   4.3192177e+01   4.3237167e+01   4.3282154e+01   4.3327145e+01   4.3372131e+01   4.3417122e+01   4.3462109e+01   4.3507099e+01   4.3552086e+01   4.3597076e+01   4.3642063e+01   4.3687054e+01   4.3732040e+01   4.3777027e+01   4.3822018e+01   4.3867004e+01   4.3911995e+01   4.3956982e+01   4.4001972e+01   4.4046959e+01   4.4091949e+01   4.4136936e+01   4.4181927e+01   4.4226913e+01
   4.3148018e+01   4.3193005e+01   4.3237995e+01   4.3282982e+01   4.3327972e+01   4.3372959e+01   4.3417950e+01   4.3462936e+01   4.3507927e+01   4.3552914e+01   4.3597904e+01   4.3642891e+01   4.3687878e+01   4.3732868e+01   4.3777855e+01   4.3822845e+01   4.3867832e+01   4.3912823e+01   4.3957809e+01   4.4002800e+01   4.4047787e+01   4.4092777e+01   4.4137764e+01   4.4182755e+01   4.4227741e+01
   4.3148811e+01   4.3193798e+01   4.3238789e+01   4.3283775e+01   4.3328766e+01   4.3373753e+01   4.3418743e+01   4.3463730e+01   4.3508720e+01   4.3553707e+01   4.3598698e+01   4.3643684e+01   4.3688675e+01   4.3733662e+01   4.3778652e+01   4.3823639e+01   4.3868626e+01   4.3913616e+01   4.3958603e+01   4.4003593e+01   4.4048580e+01   4.4093571e+01   4.4138557e+01   4.4183548e+01   4.4228535e+01
   4.3149570e+01   4.3194561e+01   4.3239548e+01   4.3284538e+01   4.3329525e+01   4.3374516e+01   4.3419502e+01   4.3464493e+01   4.3509480e+01   4.3554466e+01   4.3599457e+01   4.3644444e+01   4.3689434e+01   4.3734421e+01   4.3779411e+01   4.3824398e+01   4.3869389e+01   4.3914375e+01   4.3959366e+01   4.4004353e+01   4.4049343e+01   4.4094330e+01   4.4139320e+01   4.4184307e+01   4.4229294e+01
   4.3150299e+01   4.3195286e+01   4.3240276e+01   4.3285263e+01   4.3330254e+01   4.3375240e+01   4.3420231e+01   4.3465218e+01   4.3510204e+01   4.3555195e+01   4.3600182e+01   4.3645172e+01   4.3690159e+01   4.3735149e+01   4.3780136e+01   4.3825127e+01   4.3870113e+01   4.3915104e+01   4.3960091e+01   4.4005081e+01   4.4050068e+01   4.4095055e+01   4.4140045e+01   4.4185032e+01   4.4230022e+01
   4.3150990e+01   4.3195980e+01   4.3240967e+01   4.3285957e+01   4.3330944e+01   4.3375935e+01   4.3420921e+01   4.3465912e+01   4.3510899e+01   4.3555889e+01   4.3600876e+01   4.3645863e+01   4.3690853e+01   4.3735840e+01   4.3780830e+01   4.3825817e+01   4.3870808e+01   4.3915794e+01   4.3960785e+01   4.4005772e+01   4.4050762e+01   4.4095749e+01   4.4140739e+01   4.4185726e+01   4.4230713e+01
